"Number of holes, nh","Web-post width, WP (mm)","Web opening diameter, Do (mm)",Ply 1 (ø),Ply 2 (ø),Ply 3 (ø),Ply 4 (ø),Ply 5 (ø),Ply 6 (ø),Ply 7 (ø),Ply 8 (ø),Critical Buckling Load (N),Critical Buckling Load (kN)
3,4,35,0,45,90,-45,-45,90,45,0,12591.11213,12.59111213
3,4,35,0,90,-45,45,45,-45,90,0,11618.31296,11.61831296
3,4,35,0,90,45,-45,-45,45,90,0,11618.25209,11.61825209
3,4,35,45,-45,0,90,90,0,-45,45,18610.87377,18.61087377
3,4,35,45,-45,90,0,0,90,-45,45,18414.02743,18.41402743
3,4,35,45,0,-45,90,90,-45,0,45,14688.28765,14.68828765
3,4,35,45,0,90,-45,-45,90,0,45,12731.45965,12.73145965
3,4,35,45,90,-45,0,0,-45,90,45,14771.00952,14.77100952
3,4,35,45,90,0,-45,-45,0,90,45,13069.67372,13.06967372
3,4,35,90,-45,0,45,45,0,-45,90,11294.0798,11.2940798
3,4,35,90,-45,45,0,0,45,-45,90,12199.78363,12.19978363
3,4,35,90,0,-45,45,45,-45,0,90,10597.2817,10.5972817
3,4,35,90,0,45,-45,-45,45,0,90,10597.1612,10.5971612
3,4,35,90,45,-45,0,0,-45,45,90,12199.81401,12.19981401
3,4,35,90,45,0,-45,-45,0,45,90,11293.96418,11.29396418
3,4,40,-45,0,45,90,90,45,0,-45,13582.53799,13.58253799
3,4,40,-45,0,90,45,45,90,0,-45,11791.03373,11.79103373
3,4,40,-45,45,0,90,90,0,45,-45,17283.45191,17.28345191
3,4,40,-45,45,90,0,0,90,45,-45,17080.44917,17.08044917
3,4,40,-45,90,0,45,45,0,90,-45,12136.32712,12.13632712
3,4,40,-45,90,45,0,0,45,90,-45,13730.50405,13.73050405
3,4,40,0,-45,45,90,90,45,-45,0,13111.51168,13.11151168
3,4,40,0,-45,90,45,45,90,-45,0,11665.89483,11.66589483
3,4,40,0,45,-45,90,90,-45,45,0,13110.45906,13.11045906
3,4,40,0,45,90,-45,-45,90,45,0,11665.07048,11.66507048
3,4,40,0,90,-45,45,45,-45,90,0,10745.24272,10.74524272
3,4,40,0,90,45,-45,-45,45,90,0,10745.1621,10.7451621
3,4,40,45,-45,0,90,90,0,-45,45,17282.51057,17.28251057
3,4,40,45,-45,90,0,0,90,-45,45,17079.80036,17.07980036
3,4,40,45,0,-45,90,90,-45,0,45,13580.82915,13.58082915
3,4,40,45,0,90,-45,-45,90,0,45,11789.94904,11.78994904
3,4,40,45,90,-45,0,0,-45,90,45,13729.67236,13.72967236
3,4,40,45,90,0,-45,-45,0,90,45,12135.45824,12.13545824
3,4,40,90,-45,0,45,45,0,-45,90,10506.88421,10.50688421
3,4,40,90,-45,45,0,0,45,-45,90,11360.24733,11.36024733
3,4,40,90,0,-45,45,45,-45,0,90,9760.697362,9.760697362
3,4,40,90,0,45,-45,-45,45,0,90,9760.72552,9.76072552
3,4,40,90,45,-45,0,0,-45,45,90,11359.81869,11.35981869
3,4,40,90,45,0,-45,-45,0,45,90,10506.59801,10.50659801
3,4,45,-45,0,45,90,90,45,0,-45,12126.0473,12.1260473
3,4,45,-45,0,90,45,45,90,0,-45,10553.9651,10.5539651
3,4,45,-45,45,0,90,90,0,45,-45,15468.89964,15.46889964
3,4,45,-45,45,90,0,0,90,45,-45,15364.3075,15.3643075
3,4,45,-45,90,0,45,45,0,90,-45,10921.22594,10.92122594
3,4,45,-45,90,45,0,0,45,90,-45,12373.07017,12.37307017
3,4,45,0,-45,45,90,90,45,-45,0,11691.813,11.691813
3,4,45,0,-45,90,45,45,90,-45,0,10384.93911,10.38493911
3,4,45,0,45,-45,90,90,-45,45,0,11691.0268,11.6910268
3,4,45,0,45,90,-45,-45,90,45,0,10383.38511,10.38338511
3,4,45,0,90,-45,45,45,-45,90,0,9637.967117,9.637967117
3,4,45,0,90,45,-45,-45,45,90,0,9637.290085,9.637290085
3,4,45,45,-45,0,90,90,0,-45,45,15469.63178,15.46963178
3,4,45,45,-45,90,0,0,90,-45,45,15364.97224,15.36497224
3,4,45,45,0,-45,90,90,-45,0,45,12125.84981,12.12584981
3,4,45,45,0,90,-45,-45,90,0,45,10553.17371,10.55317371
3,4,45,45,90,-45,0,0,-45,90,45,12373.08568,12.37308568
3,4,45,45,90,0,-45,-45,0,90,45,10920.46619,10.92046619
